ID,Groups,Description,Baseline [02-10 10:12]
,ReflectionConfig > getOutputPathFor,derives output from entry point,OK/OK
,ReflectionConfig > getOutputPathFor,derives output from entry point when no output specified,OK/OK
,ReflectionConfig > getOutputPathFor,handles entry point with .dart extension,OK/OK
,ReflectionConfig > getOutputPathFor,handles entry point without .dart extension,OK/OK
,ReflectionConfig > shouldCombineOutput,returns false for single entry point,OK/OK
,ReflectionConfig > hasMultipleEntryPoints,returns true for multiple entry points,OK/OK
,ReflectionConfig > hasMultipleEntryPoints,returns false for empty entry points,OK/OK
,ReflectionConfig > shouldCombineOutput,returns true when output is specified with multiple entries,OK/OK
,ReflectionConfig > shouldCombineOutput,returns false when no output specified,OK/OK
,ReflectionDefaults,parses from map,OK/OK
,ReflectionDefaults,handles empty map,OK/OK
,ReflectionFilter,parses include filter,OK/OK
,ReflectionFilter,parses exclude filter,OK/OK
,ReflectionFilter,parses element identifiers,OK/OK
,ReflectionFilter,handles hasSelectors,OK/OK
,DependencyConfig,parses superclass config,OK/OK
,DependencyConfig,parses interface config,OK/OK
,DependencyConfig,parses mixin config,OK/OK
,CoverageConfig,defaults are correct,OK/OK
,CoverageConfig,parses instance members config,OK/OK
,CoverageConfig,parses constructors config,OK/OK
,CoverageConfig,parses top level config,OK/OK
,CoverageConfig,parses static members config,OK/OK
,ReflectionGenerator > constructor,creates generator with config,OK/OK
,ReflectionGenerator > fromMap factory,creates generator from minimal map,OK/OK
,ReflectionGenerator > fromMap factory,creates generator with entry points,OK/OK
,ReflectionGenerator > fromMap factory,creates generator with output path,OK/OK
,ReflectionGenerator > fromMap factory,creates generator with filters,OK/OK
,ReflectionGenerator > config access,config returns the configuration,OK/OK
,ReflectionGenerator > config access,config has expected default values,OK/OK
,ReflectionGenerator - Performance Tests > generator efficiency,reusing generator is efficient,OK/OK
,ReflectionGenerator > configuration integration,generator respects defaults.includePackages config,OK/OK
,ReflectionGenerator > configuration integration,generator respects dependency_config,OK/OK
,ReflectionGenerator > multiple entry points,generator accepts multiple entry points,OK/OK
,ReflectionGenerator > multiple entry points,generator accepts glob patterns in entry points,OK/OK
,ReflectionGenerator > filter combinations,generator with include filters,OK/OK
,ReflectionGenerator > filter combinations,generator with exclude filters,OK/OK
,ReflectionGenerator > filter combinations,generator with mixed filters,OK/OK
,ReflectionGenerator > complex configuration,generator with full configuration,OK/OK
,ReflectionAnalysisResult,empty result has zero counts,OK/OK
,ReflectionAnalysisResult,typeCount sums all type categories,OK/OK
,ReflectionAnalysisResult,globalMemberCount sums functions and variables,OK/OK
,ReflectionAnalysisResult,packageLibraries is empty by default,OK/OK
,ReflectionAnalysisResult,libraryTypes is empty by default,OK/OK
,EntryPointAnalyzer,creates with config,OK/OK
,EntryPointAnalyzer,returns empty result for empty entry points,OK/OK
,EntryPointAnalyzer,creates inclusion resolver from config,OK/OK
,EntryPointAnalyzer configuration,respects exclude_packages in defaults,OK/OK
,EntryPointAnalyzer configuration,respects include_packages in defaults,OK/OK
,EntryPointAnalyzer configuration,applies filters in order,OK/OK
,EntryPointAnalyzer configuration,uses dependency config,OK/OK
,EntryPointAnalyzer path handling,handles relative paths,OK/OK
,EntryPointAnalyzer path handling,handles absolute paths,OK/OK
,,SetterInfo exposes parameter list,OK/OK
,ReflectionGenerator - End-to-End Tests > sample_models.dart analysis,discovers User class,OK/OK
,ReflectionGenerator - End-to-End Tests > sample_models.dart analysis,discovers TrackedUser class,OK/OK
,ReflectionGenerator - End-to-End Tests > sample_models.dart analysis,discovers Entity abstract class,OK/OK
,ReflectionGenerator - End-to-End Tests > sample_models.dart analysis,discovers Repository generic class,OK/OK
,ReflectionGenerator - End-to-End Tests > sample_models.dart analysis,discovers Trackable mixin,OK/OK
,ReflectionGenerator - End-to-End Tests > sample_models.dart analysis,discovers UserRole enum,OK/OK
,ReflectionGenerator - End-to-End Tests > sample_models.dart analysis,discovers StringUtils extension,OK/OK
,ReflectionGenerator - End-to-End Tests > sample_models.dart analysis,discovers greet global function,OK/OK
,ReflectionGenerator - End-to-End Tests > sample_models.dart analysis,discovers appVersion global variable,OK/OK
,ReflectionGenerator - End-to-End Tests > sample_models.dart analysis,discovers requestCounter global variable,OK/OK
,ReflectionGenerator - End-to-End Tests > sample_models.dart analysis,result has correct type count,OK/OK
,ReflectionGenerator - End-to-End Tests > sample_models.dart analysis,result has correct global member count,OK/OK
,ReflectionGenerator - End-to-End Tests > code generation from sample_models,generated code imports the fixture library,OK/OK
,ReflectionGenerator - End-to-End Tests > code generation from sample_models,generated code contains User type reference,OK/OK
,ReflectionGenerator - End-to-End Tests > code generation from sample_models,generated code contains UserRole type reference,OK/OK
,ReflectionGenerator - End-to-End Tests > code generation from sample_models,generated code contains Trackable type reference,OK/OK
,ReflectionGenerator - End-to-End Tests > code generation from sample_models,generated code has constructor invokers,OK/OK
,ReflectionGenerator - End-to-End Tests > code generation from sample_models,generated code has method references,OK/OK
,ReflectionGenerator - End-to-End Tests > code generation from sample_models,generated code is syntactically valid,OK/OK
,ReflectionGenerator - End-to-End Tests > code generation from sample_models,generated code length is reasonable,OK/OK
,ReflectionGenerator - End-to-End Tests > multiple entry points,generator handles single entry point,OK/OK
,ReflectionGenerator - Performance Tests > analysis performance,analysis time scales reasonably with type count,OK/OK
,ReflectionGenerator - End-to-End Tests > multiple entry points,generator returns empty for non-existent entry point,OK/OK
,ReflectionGenerator - Performance Tests > code generation performance,generates code in reasonable time for small fixture,OK/OK
,ReflectionGenerator - End-to-End Tests > library metadata,result contains library types mapping,OK/OK
,ReflectionGenerator - Performance Tests > code generation performance,generated code size is proportional to type count,OK/OK
,ReflectionGenerator - End-to-End Tests > library metadata,result contains classes from entry point,OK/OK
,,LibraryInfo exposes source files,OK/OK
,ReflectionGenerator - Performance Tests > large codebase performance (UAM Server),analyzes aa_server_start.dart entry point,OK/OK
,,VariableInfo is static by default,OK/OK
,ReflectionGenerator - Performance Tests > large codebase performance (UAM Server),generates code for aa_server_start.dart,OK/OK
,ReflectionGenerator - Performance Tests > large codebase performance (UAM Server),memory usage is reasonable,OK/OK
,ReflectionGenerator > configuration integration,generator respects defaults.excludePackages config,OK/OK
